,nodeA,nodeB,polarity
0,Daniel Greenfield,Journalism Fellow,0.018181818181818174
1,Hillary,James Comey,-0.1
2,Comey,Hillary,0.0
3,Comey,J. Edgar Hoover,0.13636363636363635
4,Comey,Harry Reid,0.0
5,Hillary,James Comey,0.07500000000000001
6,Paul Ryan,Vladimir Putin,0.0
7,Anthony Weiner,Vladimir Putin,0.0
8,Anthony Weiner,Paul Ryan,0.0
9,Comey,Hillary,0.015625
10,Hillary Clinton,Paul Krugman,0.0893939393939394
11,Clinton,Paul Krugman,0.0893939393939394
12,Jill Stein,Paul Krugman,0.0893939393939394
13,Paul Krugman,Ralph Nader,0.0893939393939394
14,Clinton,Paul Krugman,0.0893939393939394
15,Clinton,Hillary Clinton,0.0893939393939394
16,Hillary Clinton,Jill Stein,0.0893939393939394
17,Hillary Clinton,Ralph Nader,0.0893939393939394
18,Clinton,Hillary Clinton,0.0893939393939394
19,Clinton,Jill Stein,0.0893939393939394
20,Clinton,Ralph Nader,0.0893939393939394
21,Clinton,Clinton,0.0893939393939394
22,Jill Stein,Ralph Nader,0.0893939393939394
23,Clinton,Jill Stein,0.0893939393939394
24,Clinton,Ralph Nader,0.0893939393939394
25,Ana Navarro,Hillary Clinton,0.0
26,Ana Navarro,Hillary Clinton,0.0
27,Hillary Clinton,Hillary Clinton,0.0
28,Trump,pro-Sanders,0.09166666666666667
29,Bernie Sanders,Hillary Clinton,0.17500000000000002
30,Bernie Sanders,Clinton,0.17500000000000002
31,Clinton,Hillary Clinton,0.17500000000000002
32,Camel Jockey,Gandhi,0.0
33,Razan Abu-Salha,Yusor Abu-Salha,-0.06666666666666667
34,Deah Shaddy Barakat,Yusor Abu-Salha,-0.06666666666666667
35,Deah Shaddy Barakat,Razan Abu-Salha,-0.06666666666666667
36,Donald Trump,Islamophobia,0.25
37,Baylee,Yale Gerstein,-0.09166666666666667
38,Baylee,Baylee,-0.11851851851851852
39,Alex Jones,Michele Obama,-0.018518518518518528
40,Alex Jones,Hillary Clinton,-0.018518518518518528
41,Hillary Clinton,Michele Obama,-0.018518518518518528
42,Michelle,Trump,0.25
43,Hillary,Trump,0.25
44,Hillary,Michelle,0.25
45,Hillary,Margot Gerster,0.0
46,Donald J Trump,Soros,0.4875
47,Robert Langdon,Tom Hanks,0.8
48,Dan Brown,The Da Vinci Code,0.06666666666666667
49,Jonathan Newman,The Best of,1.0
50,Jonathan Newman,The Best of,1.0
51,Jonathan Newman,Jonathan Newman,1.0
52,Domascus,Harakat Nour al-Din al-Zenki,0.1375
53,Socrates,Socrates,0.0
54,Kennedy,Martin King,-0.0625
55,Clinton,Readies EMP Launch,0.0
56,Gabbard,the Bhagavad Gita,0.0
57,Gabbard,Sanatana Dharma,0.0
58,Sanatana Dharma,the Bhagavad Gita,0.0
59,dreamer,hiker,0.25
60,Ariana,Mother Nature,0.35
61,Donald J. Trump,anthony weiner,0.0
62,Groping,anthony weiner,0.0
