,nodeA,nodeB,polarity
0,Francois Hollande,Laurent Fabius,0.0
1,Kerry,Obama,0.0
2,Jane Hartley,Victoria Nuland,0.0
3,Donald Trump,Hillary Clinton,0.0
4,Bernie Sanders,Ted Cruz,-0.3724
5,D-Vt.,Ted Cruz,-0.3724
6,John Kasich,Ted Cruz,-0.3724
7,Bernie Sanders,D-Vt.,-0.3724
8,Bernie Sanders,John Kasich,-0.3724
9,D-Vt.,John Kasich,-0.3724
10,Clinton,Trump,-0.7096
11,Hillary,Hillary,-0.8402
12,Hillary,Hillary,-0.8402
13,Hillary,Hillary,-0.8402
14,Cruz,Kasich,0.0
15,Dubbed,Nicholas Winton,0.0
16,Donald Trump,Hillary Clinton,0.0
17,Clinton,Trump,-0.8625
18,Obama,Trump,0.0
19,Clinton,Clinton,0.0
20,Clinton,Neil Cavuto,-0.5994
21,Cavuto,Trump,-0.8573
22,George W. Bush,Obama,0.0
23,Bush,Condoleezza Rice,0.2732
24,Bush,Condoleezza Rice,0.2732
25,Condoleezza Rice,Nouri al-Maliki,0.2732
26,Bush,Bush,0.2732
27,Bush,Nouri al-Maliki,0.2732
28,Bush,Nouri al-Maliki,0.2732
29,Raul Castro,Salman,-0.2411
30,Helmut Kohl,Reagan,0.0
31,Mao,Nixon,0.3612
32,Clinton,Gadhafi,0.6124
33,Clinton,Rachel Maddow,0.0
34,Clinton,Clinton,0.7003
35,Clinton,Clinton,-0.4019
36,Edward Kennedy,John Kerry,0.5267
37,Frank-Walter Steinmeier,Laurent Fabius,0.0
38,Bill,Hillary,0.1027
39,Bill,Chelsea Clinton,0.1027
40,Chelsea Clinton,Hillary,0.1027
41,Bernie Sanders,Clinton,0.0
42,Joni Ernst,Kelly Ayotte,0.3818
43,Ayotte,Maggie Hassan,0.4215
44,Marie-Claire Villeval,Peter Kuhn,0.8858
45,M. Daniele Paserman,Stefano Gagliarducci,0.4588
46,Lisa Murkowski,Maria Cantwell,0.7506
47,Mikulski,Shaheen,0.0
48,Barbara Mikulski,Mikulski,0.0
49,Barbara Mikulski,Shaheen,0.0
50,Golda Meir,Margaret Thatcher,-0.128
51,Hassan,Sylvia Larsen,0.3612
52,Ask Ayotte,Ruth Griffin,0.0
53,Ayotte,Griffin,0.2732
54,Ann McLane Kuster,McLane,0.0
55,Sununu,Vesta Roy,-0.3612
56,Ayatollah Ali Khamenei,Hassan Rouhani,0.5574
57,Chuck Schumer,Harry Reid,0.0
58,Breitbart,Pamela Geller,0.6369
59,George W. Bush,Islamophobia,0.5267
60,John Feehery,Obama,0.5009
61,George W. Bush,Hillary Clinton,0.7964
62,Clinton,Donald Trump,0.0
63,Bill Clinton,Bush,0.2023
64,Clinton,George W. Bush,0.3182
65,Bernie Sanders,Clinton,0.4404
66,Clinton,Trump,-0.5719
67,Clinton,Ted Cruz,-0.5719
68,Ted Cruz,Trump,-0.5719
69,Bill Bratton,Clinton,0.0
70,Debi Rose,Hillary,0.0
71,Bill de Blasio,Clinton,0.3415
72,McConnell,Obama,-0.4588
73,Harry M. Reid,McConnell,0.6808
74,D-Nev,McConnell,0.6808
75,D-Nev,Harry M. Reid,0.6808
76,John A. Boehner,Ted Cruz,-0.6688
77,McConnell,Reid,0.0
78,Adam Jentleson,McConnell,0.0
79,Adam Jentleson,Reid,0.0
80,Alben W. Barkley,McConnell,0.2023
81,Franklin D. Roosevelt,McConnell,0.2023
82,Alben W. Barkley,Franklin D. Roosevelt,0.2023
83,George H.W. Bush,Mitchell,0.7506
84,Bush,Mitchell,0.296
85,R-Ky.,Rand Paul,0.3612
86,McConnell,Rand Paul,0.3612
87,McConnell,R-Ky.,0.3612
88,Barack Obama,Joe Biden,-0.6808
89,Barack Obama,Elizabeth Warren,-0.6808
90,Barack Obama,Hillary Clinton,-0.6808
91,Elizabeth Warren,Joe Biden,-0.6808
92,Hillary Clinton,Joe Biden,-0.6808
93,Elizabeth Warren,Hillary Clinton,-0.6808
94,Bob Vander Plaats,Kate Bolduan,0.25
95,Ted Cruz,Vander Plaats,0.5461
96,Curly Haugland,Sean Parnell,0.0
97,Cruz,Cruz,0.9153
98,Mitch McConnell,Paul Ryan,-0.6705
99,Mark Kirk,Ryan,-0.7254
100,Mark Kirk,McConnell,-0.7254
101,Clinton,Mark Kirk,-0.7254
102,McConnell,Ryan,-0.7254
103,Clinton,Ryan,-0.7254
104,Clinton,McConnell,-0.7254
105,Bernie Sanders,Hillary Clinton,0.0
106,Mitch McConnell,Paul Ryan,-0.7351
107,Corey Lewandowski,Paul Manafort,0.6124
108,Trump,Wiley,0.2732
109,Robert Costa,Sullivan,-0.5574
110,Donald Trump,Sullivan,-0.5574
111,Donald Trump,Robert Costa,-0.5574
112,J. Fred Buzhardt,Richard Nixon,0.0
113,Bush,Hillary Rodham Clinton,0.34
114,Marco Rubio,Rand Paul,0.5994
115,Marco Rubio,R-Ky.,0.5994
116,R-Ky.,Rand Paul,0.5994
117,George W. Bush’s,Matthew Dowd,0.6124
118,Jeb Bush,Obama,0.1027
119,Clinton,Elizabeth Warren,0.0
120,Romney,Yuval Levin,0.5106
121,George W. Bush’s,Jeb Bush,-0.34
122,Clinton,Neera Tanden,0.7261
123,Bill Clinton,Galston,0.0
124,Bush,Galston,0.0
125,Bill Clinton,Bush,0.0
126,Mike Huckabee,Rick Santorum,-0.4019
127,Romney,Ryan,0.3612
128,Biden,Jared Bernstein,0.7579
129,Bush,Clinton,0.0387
130,Trump,Universe Alicia Machado,-0.2263
131,Clinton,Universe,-0.4767
132,Bernie Sanders,Hillary Clinton,0.0
133,Alan Abramowitz,Steven Webster,-0.7906
134,Elizabeth Warren,anti-Clinton,0.7906
135,Antonio Weiss,anti-Clinton,0.7906
136,Jack Lew,anti-Clinton,0.7906
137,Antonio Weiss,Elizabeth Warren,0.7906
138,Elizabeth Warren,Jack Lew,0.7906
139,Antonio Weiss,Jack Lew,0.7906
140,Howard Taft,Teddy Roosevelt,0.8807
141,George Norris,Joe Cannon,0.144
142,Gingrich,Thomas Reed,0.0
143,Boehner,Boehner,0.5149
144,Clinton,Elizabeth Warren,-0.2732
145,Charlie Hebdo,Geller,0.2732
146,Cartoon Contest,Coonfield,0.2023
147,Cartoon Contest,Muhammad,0.2023
148,Cartoon Contest,Der Ewige Jude,0.2023
149,Coonfield,Muhammad,0.2023
150,Coonfield,Der Ewige Jude,0.2023
151,Der Ewige Jude,Muhammad,0.2023
152,Bernie Sanders,Michael Cantalupo,0.5994
153,Donald Trump,Guardascione,-0.7003
154,Donald Trump,Hillary Clinton,-0.7906
155,Clinton,Obama,0.0
